#Timestamp	Benchmark	Run(#)	CPU Frequency (MHz)	CPU Temperature(C)	CPU Voltage(V)	CPU Power(W)	L1_DATA_CACHE_ACCESS	CPU_CYCLES	L1_INSTR_CACHE_ACCESS	BUS_CYCLES	BUS_ACCESS_PERIPHERAL	BRANCH_SPECULATIVELY_EXECUTED_PROCEDURE_RETURN
116 particlefilter 1 710 39 0.919000 0.308000  0.657219 2.385651 0.863501 2.385651 0.000976 0.060342 
220 particlefilter 1 710 39 0.919000 0.616000  0.008376 0.036343 0.011055 0.036343 0.000005 0.000621 
325 particlefilter 1 710 39 0.919000 1.387000  0.025602 0.072200 0.045583 0.072200 0.000004 0.000437 
429 particlefilter 1 710 39 0.919000 1.695000  0.030102 0.084233 0.057739 0.084233 0.000003 0.000183 
533 particlefilter 1 710 39 0.919000 1.773000  0.023185 0.068115 0.042369 0.068115 0.000004 0.000297 
637 particlefilter 1 710 40 0.919000 1.927000  0.017315 0.049389 0.032521 0.049389 0.000003 0.000148 
741 particlefilter 1 710 39 0.919000 1.156000  0.015311 0.049064 0.028436 0.049064 0.000003 0.000169 
845 particlefilter 1 710 40 0.919000 1.464000  0.028379 0.080267 0.055470 0.080267 0.000003 0.000191 
949 particlefilter 1 710 39 0.919000 0.848000  0.022779 0.066167 0.035712 0.066167 0.000004 0.000676 
1052 particlefilter 1 710 39 0.919000 1.078000  0.018128 0.056099 0.030624 0.056099 0.000004 0.000407 
1158 particlefilter 1 710 39 0.919000 1.772000  0.013640 0.046571 0.020607 0.046571 0.000004 0.000476 
1263 particlefilter 1 710 39 0.919000 1.464000  0.015310 0.045126 0.027227 0.045126 0.000003 0.000232 
1366 particlefilter 1 710 39 0.919000 0.308000  0.004207 0.015565 0.005166 0.015565 0.000003 0.000283 
